,timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassX,compassY,compassZ,fusionPoseX,fusionPoseY,fusionPoseZ,tiltHeading,pressure,temperature,humidity,dt
86,2023-04-24T23:21:40.086Z,-0.0614879988133907,-0.0934519991278648,-1.0077199935913086,0.0659240186214447,0.0026267599314451,-0.0059417411684989,-65.11861419677734,33.473968505859375,-40.40597152709961,-2.9549553394317627,-0.0237818825989961,2.649416446685791,2.608065366744995,1006.664306640625,42.519039154052734,16.580148696899414,4.314
88,2023-04-24T23:21:40.186Z,-0.0007319999858736,-0.1041879951953888,-1.0099159479141235,0.0421002693474292,0.0017104614526033,-0.0080797672271728,-65.03369140625,33.44037628173828,-40.46997833251953,-2.9525129795074463,-0.0235790498554706,2.649583339691162,2.619321823120117,1006.64794921875,42.409767150878906,16.377178192138672,4.414
90,2023-04-24T23:21:40.286Z,-0.0002439999952912,-0.0949160009622573,-1.0116239786148071,-0.0438922978937625,0.0037838090211153,-0.0091451704502105,-64.96015167236328,33.58150100708008,-40.8179817199707,-2.958740711212158,-0.0236078966408967,2.6498444080352783,2.6209073066711426,1006.638427734375,42.48261642456055,16.4228458404541,4.514
92,2023-04-24T23:21:40.386Z,-0.0009759999811649,-0.0900359973311424,-1.0104039907455444,0.0388270951807498,0.0031196167692542,-0.0089914724230766,-65.03572082519531,33.5880012512207,-40.73798751831055,-2.956831216812134,-0.0235526803880929,2.650146722793579,2.623274326324463,1006.63525390625,42.409767150878906,15.649018287658691,4.614
94,2023-04-24T23:21:40.486Z,0.0,-0.0988200008869171,-1.0094280242919922,0.032168548554182,0.0027668867260217,-0.010341852903366,-65.02897644042969,33.67720031738281,-41.001590728759766,-2.955437183380127,-0.0235072411596775,2.650478839874268,2.61837100982666,1006.63525390625,42.50082778930664,16.46343994140625,4.714
96,2023-04-24T23:21:40.586Z,0.0004879999905824,-0.0980879962444305,-1.0086959600448608,0.0067030601203441,0.0033209836110472,-0.0086665377020835,-65.0403823852539,33.76536178588867,-41.03887176513672,-2.9565751552581787,-0.0234950948506593,2.650620937347412,2.6177945137023926,1006.624755859375,42.427978515625,16.46090316772461,4.814
98,2023-04-24T23:21:40.686Z,0.0004879999905824,-0.0924759954214096,-1.009671926498413,0.0020859129726886,0.0020639728754758,-0.0097220763564109,-65.01030731201172,33.6790885925293,-40.95949935913086,-2.958258867263794,-0.0233814604580402,2.6509523391723637,2.6211094856262207,1006.627197265625,42.48261642456055,16.663875579833984,4.914
100,2023-04-24T23:21:40.786Z,0.0009759999811649,-0.095160000026226,-1.0104039907455444,0.0269756950438022,0.0020292848348617,-0.005654789507389,-64.9918441772461,33.69967269897461,-41.119998931884766,-2.957411050796509,-0.0232016388326883,2.6508536338806152,2.619577646255493,1006.624755859375,42.55546188354492,15.590664863586426,5.014
102,2023-04-24T23:21:40.886Z,0.0002439999952912,-0.0983319953083992,-1.010159969329834,0.0208166353404521,0.0022954791784286,-0.0043585523962974,-65.0386734008789,33.59853744506836,-41.0551986694336,-2.957115888595581,-0.0230148322880268,2.650627374649048,2.619577407836914,1006.615234375,42.39155578613281,16.453292846679688,5.114
104,2023-04-24T23:21:40.986Z,-0.0002439999952912,-0.0949160009622573,-1.0118680000305176,-0.0062598586082458,0.0001548025757074,-0.0075885877013206,-65.12654113769531,33.523231506347656,-41.04816055297852,-2.9595589637756348,-0.0226756613701581,2.650813579559326,2.6224427223205566,1006.608154296875,42.427978515625,16.410160064697266,5.214
106,2023-04-24T23:21:41.086Z,0.0,-0.095160000026226,-1.0084519386291504,0.0259773731231689,0.0028548948466777,-0.0062598511576652,-65.05123138427734,33.49098587036133,-41.21052932739258,-2.9587769508361816,-0.0225835070013999,2.6508097648620605,2.621956825256348,1006.59716796875,42.44619369506836,16.316286087036133,5.314
108,2023-04-24T23:21:41.186Z,-0.0614879988133907,-0.0975999981164932,-1.0089399814605713,0.0155926644802093,0.0031603276729583,-0.0022892281413078,-65.00218200683594,33.35318756103516,-41.01842498779297,-2.9589438438415527,-0.0212281607091426,2.650151252746582,2.606067180633545,1006.595458984375,42.53725051879883,16.597909927368164,5.414
110,2023-04-24T23:21:41.286Z,-0.0004879999905824,-0.0961359962821006,-1.010159969329834,0.0039862245321273,0.0031603276729583,-0.0071761533617973,-65.0637435913086,33.30455017089844,-40.96554183959961,-2.9603166580200195,-0.0212032571434974,2.650282382965088,2.623990058898926,1006.5947265625,42.50082778930664,16.471052169799805,5.514
112,2023-04-24T23:21:41.386Z,0.0012199999764561,-0.0949160009622573,-1.0089399814605713,0.0198350921273231,0.0016057174652814,-0.0097582340240478,-65.06259155273438,33.260040283203125,-40.758033752441406,-2.960137128829956,-0.0211091935634613,2.650719165802002,2.6256141662597656,1006.59716796875,42.409767150878906,16.491348266601562,5.614
114,2023-04-24T23:21:41.486Z,0.0,-0.0975999981164932,-1.0106480121612549,0.014096338301897,0.0030802264809608,-0.0065912380814552,-65.028076171875,33.241233825683594,-40.62842559814453,-2.9604651927948,-0.0210786405950784,2.650791883468628,2.624375581741333,1006.5947265625,42.53725051879883,16.562389373779297,5.714
116,2023-04-24T23:21:41.586Z,0.0,-0.0963799953460693,-1.0106480121612549,0.0096552409231662,0.0033287573605775,-0.0052792653441429,-65.00045776367188,33.42778778076172,-40.771141052246094,-2.961244344711304,-0.0210467465221881,2.6506922245025635,2.622397184371948,1006.596923828125,42.44619369506836,16.531944274902344,5.814
118,2023-04-24T23:21:41.686Z,-0.0617319978773593,-0.0963799953460693,-1.0099159479141235,0.0102661065757274,0.0021070279181003,-0.0068064332008361,-64.94476318359375,33.50423049926758,-40.80131149291992,-2.9619178771972656,-0.0196954030543565,2.6504621505737305,2.604728937149048,1006.602294921875,42.44619369506836,16.41269874572754,5.914
120,2023-04-24T23:21:41.786Z,-0.0004879999905824,-0.0978439971804618,-1.009671926498413,0.0157638899981975,0.0002744309604167,-0.0046683996915817,-64.81620788574219,33.458984375,-40.85065078735352,-2.962033987045288,-0.0193752329796552,2.650315046310425,2.619940996170044,1006.601318359375,42.50082778930664,16.448217391967773,6.014
122,2023-04-24T23:21:41.887Z,0.0002439999952912,-0.0961359962821006,-1.0099159479141235,0.0064899735152721,0.0017713159322738,-0.0081935301423072,-64.92057037353516,33.42838668823242,-40.78092193603516,-2.963093042373657,-0.0192866642028093,2.650532960891724,2.621983528137207,1006.59912109375,42.427978515625,17.3514404296875,6.115
124,2023-04-24T23:21:41.988Z,0.0009759999811649,-0.0956479981541633,-1.0084519386291504,0.0102847889065742,0.0023421421647071,-0.006854623556137,-64.88645935058594,33.487911224365234,-40.62713623046875,-2.963759660720825,-0.0192450489848852,2.650596618652344,2.621565341949463,1006.605712890625,42.50082778930664,16.405086517333984,6.216
126,2023-04-24T23:21:42.089Z,0.0,-0.0961359962821006,-1.009671926498413,0.0152170248329639,0.001702181994915,-0.0058385282754898,-64.9095687866211,33.58592987060547,-40.54330825805664,-2.9639151096343994,-0.0191035456955432,2.650546073913574,2.620283365249634,1006.6142578125,42.53725051879883,16.361955642700195,6.317
128,2023-04-24T23:21:42.191Z,-0.0009759999811649,-0.0975999981164932,-1.0086959600448608,0.0068531930446624,0.0025744698941707,-0.0063410028815269,-64.98405456542969,33.45714569091797,-40.51544570922852,-2.964864730834961,-0.0190414432436227,2.650553941726685,2.62139892578125,1006.629638671875,42.50082778930664,16.34926986694336,6.419
130,2023-04-24T23:21:42.291Z,0.0012199999764561,-0.0961359962821006,-1.0111359357833862,0.0136448964476585,0.0022309012711048,-0.004132330417633,-65.01564025878906,33.382118225097656,-40.3111572265625,-2.965167760848999,-0.0189496278762817,2.650397062301636,2.6239473819732666,1006.630615234375,42.53725051879883,15.956012725830078,6.519
132,2023-04-24T23:21:42.391Z,0.0002439999952912,-0.0961359962821006,-1.0111359357833862,0.0149170719087123,0.0018931087106466,-0.0100688710808753,-64.95130920410156,33.32209396362305,-40.55372619628906,-2.965350389480591,-0.0189099740236997,2.6508188247680664,2.6237149238586426,1006.634765625,42.55546188354492,16.455829620361328,6.619
134,2023-04-24T23:21:42.491Z,-0.0009759999811649,-0.0963799953460693,-1.0084519386291504,0.0086603760719299,0.0009603928774595,-0.0080978497862815,-64.95584869384766,33.285274505615234,-40.61898040771485,-2.966130018234253,-0.0187224205583333,2.651055335998535,2.623589515686035,1006.636474609375,42.427978515625,16.204652786254883,6.719
